,line,month,num_passengers,additional_platform_time,additional_train_time,over_five_mins_perc,wait_assessment,service_delivered,terminal_on_time_performance,percent_late,infra_critical,noninfra_critical,infra_noncritical,noninfra_noncritical
0,1,2025-01-01,6688313.0,0.6999114,0.5234027,0.07730745,0.77876055,0.99069005,0.83726877,0.03394333,0,0,1082,572
1,1,2025-02-01,5147344.0,1.0039914,0.5949038,0.09609109,0.7481025,0.97463536,0.80843043,0.041466758,4,1,1200,477
2,2,2025-01-01,4378539.5,1.1232483,0.58728504,0.14276768,0.6507053,0.9361881,0.7133803,0.04169014,3,2,1145,890
3,2,2025-02-01,3307910.0,1.1653521,0.53256625,0.13321753,0.67777085,0.94222224,0.7185355,0.043968618,1,2,1042,680
4,3,2025-01-01,3382491.5,0.89919573,0.5622657,0.110155426,0.6982059,0.94384545,0.82231027,0.031850047,3,2,593,573
5,3,2025-02-01,2608765.5,0.6935546,0.5405329,0.09561981,0.7052005,0.9531416,0.80093676,0.039272204,0,0,686,419
6,4,2025-01-01,4834933.0,0.85321134,0.63677436,0.12841882,0.6730322,0.96805006,0.80090886,0.031933185,3,1,755,866
7,4,2025-02-01,3810993.8,0.9111348,0.4239479,0.11292879,0.68480015,0.95347065,0.8177165,0.028437367,5,0,890,393
8,5,2025-01-01,4093416.8,1.0209124,0.6259068,0.13672803,0.6349107,0.9045454,0.75854343,0.031932775,0,3,821,903
9,5,2025-02-01,3294655.8,0.9766518,0.36654934,0.11264172,0.6591074,0.92466587,0.81139135,0.039381612,2,1,586,573
10,6,2025-01-01,7114030.0,1.157177,0.6107018,0.12134718,0.7148066,0.95867026,0.8460095,0.03027583,1,8,904,984
11,6,2025-02-01,5300336.0,1.1133116,0.57568085,0.11064738,0.7042191,0.9609578,0.83761084,0.03528968,0,3,930,791
12,7,2025-01-01,5878673.5,0.8874427,0.34600908,0.08022202,0.7164032,0.94738626,0.9342823,0.03370866,1,1,699,229
13,7,2025-02-01,4558816.0,1.2637489,0.73836136,0.11219744,0.65786195,0.90361917,0.90589875,0.04569694,2,1,749,398
14,A,2025-01-01,5281612.0,1.4231993,0.573744,0.14961956,0.64248127,0.94197226,0.80328834,0.036054023,1,0,1253,422
15,A,2025-02-01,4060887.0,0.8700609,0.26011184,0.12354508,0.6767137,0.9650493,0.83270174,0.03045614,0,1,896,296
16,B,2025-01-01,3354942.0,2.3764246,1.3306149,0.2430353,0.5744752,0.8682378,0.61195606,0.059357837,0,2,1285,553
17,B,2025-02-01,2532100.8,1.7647036,0.93781227,0.22025758,0.61174953,0.89330024,0.66494083,0.054240633,2,3,1018,341
18,C,2025-01-01,2794647.0,1.9558764,0.53272164,0.17664252,0.66334254,0.91088516,0.7141687,0.055692054,1,0,973,423
19,C,2025-02-01,2115785.8,1.5152037,0.29310608,0.153474,0.70496595,0.9411357,0.74016124,0.054528214,1,0,788,308
20,D,2025-01-01,3434432.2,1.9423792,0.9168172,0.22177114,0.6211667,0.8885167,0.77117145,0.03437592,1,1,1239,312
21,D,2025-02-01,2580841.8,1.6127496,0.7692758,0.21072312,0.6261161,0.8941828,0.74306035,0.04042332,6,0,1197,284
22,E,2025-01-01,5217251.0,1.3425068,-0.40402615,0.11722576,0.5599667,0.8513986,0.7966741,0.02827051,5,0,1564,270
23,E,2025-02-01,4077744.5,1.3728148,-0.13922921,0.13438626,0.5524126,0.84075576,0.7400513,0.030295251,7,1,1642,383
24,F,2025-01-01,6000642.5,2.054684,-0.3352216,0.18619637,0.47534138,0.8097179,0.6869202,0.040584415,9,2,2200,500
25,F,2025-02-01,4596758.5,1.7583126,-0.17865272,0.17343672,0.58097476,0.88384753,0.67400646,0.050349087,4,0,1971,458
26,G,2025-01-01,1936706.9,1.2552555,1.2057779,0.20504858,0.7487066,0.9574468,0.71027076,0.110064745,0,0,1711,258
27,G,2025-02-01,1589391.2,1.2109138,1.1783175,0.1937287,0.76995575,0.9585666,0.759375,0.12170139,0,0,1171,215
28,JZ,2025-01-01,1838457.8,1.180915,0.42084712,0.16970302,0.7677412,0.96495956,0.8928626,0.0,0,0,494,207
29,JZ,2025-02-01,1498257.8,1.13221,0.5239123,0.18084794,0.7710874,0.9811321,0.88769203,0.0,1,0,474,163
30,L,2025-01-01,4067630.8,1.0199139,0.58160985,0.092469186,0.73559916,0.9748934,0.913029,0.034655116,1,1,688,356
31,L,2025-02-01,3217659.2,1.9549714,0.7327286,0.11752537,0.7111803,0.9626989,0.89330506,0.03501833,1,2,722,384
32,M,2025-01-01,2706229.0,1.899129,-0.050102245,0.19720282,0.711369,0.9612768,0.9051697,0.022111492,0,0,341,268
33,M,2025-02-01,2285416.2,1.9248273,0.1702798,0.2123564,0.6762786,0.93406594,0.8341198,0.03339383,2,0,690,224
34,N,2025-01-01,3657915.8,1.8459138,0.34529787,0.17322369,0.61984736,0.90909094,0.7657935,0.0,4,0,1969,463
35,N,2025-02-01,2796109.2,1.4450108,0.32574776,0.16231957,0.6509823,0.9265471,0.79031175,0.0,1,1,1439,431
36,Q,2025-01-01,4462089.5,1.3864859,0.9187823,0.20289072,0.66368717,0.93292147,0.7905694,0.07169447,1,0,940,579
37,Q,2025-02-01,3381437.0,1.2265413,0.7548961,0.18678878,0.7166452,0.962187,0.8016941,0.07955489,0,1,798,396
38,R,2025-01-01,5159546.0,2.3519258,-0.045188397,0.22331412,0.35282612,0.72153574,0.72362036,0.027744086,5,1,1651,172
39,R,2025-02-01,3910610.5,2.215247,-0.032786276,0.21536064,0.3721439,0.7378641,0.70637316,0.03550506,8,1,1501,153
40,SF,2025-01-01,217457.64,0.30308694,0.005989666,0.03689731,0.99242425,0.9962121,0.9903475,0.0,0,0,37,13
41,SF,2025-02-01,172709.28,0.3478314,0.015580897,0.05136248,0.9956076,0.998538,0.9962406,0.0,0,0,9,8
42,SG,2025-01-01,576603.56,0.3702117,-0.24478304,0.0010462689,0.9891989,0.9995499,0.9998316,0.0,0,0,0,2
43,SG,2025-02-01,831418.9,0.39906958,-0.12868556,0.0012036178,0.98045856,0.99791557,0.9983238,0.0,0,0,3,14
